Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,Page URL,Download File,Perpetrator,Policy,Latitude,Longitude,Missing,
52492,News Article,Hastings Daily Tribune,Hastings,Nebraska,17-Dec-42,2,Vow To Punish Nazis,Persecution Of Jews Arouses Allied Nations,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,alan bush,https://newspapers.ushmm.org/article/52492,https://www.newspapers.com/clip/89286499/the-hastings-daily-tribune/,y,n,40.5862573,-98.389883,[0],
51829,News Article,Hilo Tribune Herald/Hawaii Tribune-Herald,Hilo,Hawaii,17-Dec-42,3,US Condemns Nazi Slaughter of Jewish People,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Judith Haran,https://newspapers.ushmm.org/article/51829,https://www.newspapers.com/clip/88212934/hawaii-tribune-herald/,y,n,19.7216013,-155.0849,"[4,5,6]",
51056,News Article,The Sacramento Bee,Sacramento,California,17-Dec-42,27,"U. S., Allies Join In Condemning Slaying Jews","Statement Assails 'Bestial Policy' of Axis, Pledges Retribution",AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,https://newspapers.ushmm.org/article/51056,https://www.newspapers.com/clip/87512394/the-sacramento-bee/,n,n,38.5815709,-121.49441,[0],include
50941,News Article,The Winona Republican and Herald/The Winona Republican-Herald/The Winona Daily News,Winona,Minnesota,17-Dec-42,14,U.S. Pledges Slaughterers of Jews Won't Escape Retribution,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Amy Minton,https://newspapers.ushmm.org/article/50941,https://www.newspapers.com/clip/87318591/allies-us-pledges-slaughterers-of-jew/,n,n,44.0553898,-91.666362,[5],
50798,News Article,Oakland Tribune,Oakland,California,17-Dec-42,1,Allies Denounce Nazi Brutality,U.S. Joins United Nations in Pledging To Punish Guilty,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Aiden Kaplan,https://newspapers.ushmm.org/article/50798,https://newscomwc.newspapers.com/clip/87331785/oakland-tribune/,y,n,37.8043504,-122.27117,[0],include
49879,News Article,The Elizabethton Star,Elizabethton,Tennessee,17-Dec-42,1,U.S. Condemns Germany's Policy Of Cold-Blooded Extermination Of Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Carlotta Schaefer,https://newspapers.ushmm.org/article/49879,https://www.newspapers.com/clip/85420854/elizabethton-star/,y,y,36.3487186,-82.210698,[6],
48884,News Article,The Index-Journal,Greenwood,South+Carolina,17-Dec-42,1,United Nations Condemn Nazi Slaughter Of Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,https://newspapers.ushmm.org/article/48884,https://www.newspapers.com/clip/83134157/the-index-journal/,y,n,34.1953991,-82.161798,[0],
47896,News Article,Tucson Daily Citizen,Tucson,Arizona,17-Dec-42,11,U. S. Condemns Hitler Policy Against Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Not Approved,Katherine Vaughan,https://newspapers.ushmm.org/article/47896,https://www.newspapers.com/clip/81394323/tucson-daily-citizen/,y,y,32.2226056,-110.97472,"[5,6]",
47584,News Article,The Daily Progress,Charlottesville,Virginia,17-Dec-42,1,Allied Nations Join in Condemning Nazi Treatment of Jews,,AP,Allies Denounce Nazi Plan to Exterminate the Jews,University of Virginia Virgo Library (http://search.lib.virginia.edu),Not Approved,Danielle Geist,https://newspapers.ushmm.org/article/47584,https://newspapers.ushmm.org/manager/article/photo/30148/original,y,n,38.0293049,-78.476688,"[4,5,6]",
47100,News Article,The Jackson Sun,Jackson,Tennessee,17-Dec-42,7,Retribution For Nazi Execution Jewish Peoples [sic],United States Joins Allied Nations In Strong Protest,AP,Allies Denounce Nazi Plan to Exterminate the Jews,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,https://newspapers.ushmm.org/article/47100,https://www.newspapers.com/clip/77719941/the-jackson-sun/,y,n,35.6145159,-88.813957,[6],
