Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,Unnamed: 18,Missing,Other,Latitude,Longitude,Unnamed: 23,Wise,Discussion
47099,News Article,The Jackson Sun,Jackson,Tennessee,25-Nov-42,1,Discuss Hitler Drive To Kill Half Of Jews,Committee Of Leading Jewish Groups Hear Doctor Wise,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Katherine Vaughan,"Front page below the fold, day after Rabbi Wise's press conference.",,https://newspapers.ushmm.org/article/47099,,,"[7,8,9]","[1,1]",35.6145169,-88.8139469,,1,1
47016,News Article,Port Huron Times-Herald/The Times Herald,Port+Huron,Michigan,25-Nov-42,3,Nazis Killing Europe's Jews,"To Complete Extermination This Year, FDR Hears",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sarah Biddick,,"Hi Sarah,

Awesome work! I have approved 4 out of 7 your submissions from Thursday, May 13th through Friday, May 14th. Thank you for bringing us 4 brand new articles for the Nazi Plan to Kill All Jews Confirmed event module!

Please see my comments on the 3 articles I could not approve for the reason why.

I'm excited to see what new articles you will bring us next!

- Samantha",https://newspapers.ushmm.org/article/47016,,,[7],"[0,0]",42.9708634,-82.4249142,,0,0
47015,News Article,The Bradenton Herald,Bradenton,Florida,25-Nov-42,8,"Nazis Plan To Kill All Jews, Report Reveals",Two Million Said Already Slaughtered Under Hitler's Orders,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sarah Biddick,,,https://newspapers.ushmm.org/article/47015,,,[0],"[0,0]",27.4989278,-82.5748194,,0,0
47014,News Article,Miami Daily News/The Miami News,Miami,Florida,25-Nov-42,A3,"Hitler Plan To Exterminate All Jews Confirmed, Says Leader",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sarah Biddick,,,https://newspapers.ushmm.org/article/47014,,,"[6,7,9]","[1,1]",25.7616798,-80.1917902,,0,0
46233,News Article,The Herald-Press,Saint+Joseph,Michigan,25-Nov-42,7,Wise Reveals Nazi Plan To Kill All Jews,Estimates Half of Jewish Population In Europe Murdered,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,,,https://newspapers.ushmm.org/article/46233,,,[0],"[0,0]",42.0938577,-86.4895463,,1,0
45994,News Article,The Dothan Eagle,Dothan,Alabama,25-Nov-42,5,"Jews To Hear Report On ""Extermination""",,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,"Not on page 1; buried inside the paper. In 1942, this was the day before Thanksgiving. Who's reading the inside of a newspaper on the day before Thanksgiving?",Much of the reporting coming out of Nazi Germany was buried inside the newspaper. You make a good point. -Edie,https://newspapers.ushmm.org/article/45994,,,[7],"[1,0]",31.2232313,-85.3904888,,0,1
44242,News Article,Brattleboro Daily Reformer,Brattleboro,Vermont,25-Nov-42,6,SAYS NAZIS AIM TO EXTERMINATE JEWS,Dr. Wise Reports Plan to Wipe Rest Out This Year,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,https://www.newspapers.com/image/548658910/?terms=plan%20to%20kill%20jews&match=1,,https://newspapers.ushmm.org/article/44242,,,"[7,8,9]","[1,1]",42.8509152,-72.5578678,,1,0
44229,News Article,The Racine Journal-Times,Racine,Wisconsin,25-Nov-42,5,Will Expose Nazi Plan To Kill European Jews,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,"Article is at bottom of 1st column to top of 2nd column.
https://www.newspapers.com/image/334266954/?terms=plan%20to%20kill%20jews&match=1",,https://newspapers.ushmm.org/article/44229,,,"[3,4,5,6,7,8,9]","[1,1]",42.7261309,-87.7828523,,0,0
40934,News Article,Iowa City Press-Citizen,Iowa+City,Iowa,25-Nov-42,3,To Relate Details of Anti-Jew Campaign,Dr. Stephen S. Wise Claims Proof of Nazi Plan to Exterminate All of Race,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,colton kinnison,This article just states the number of the Jews who have been exterminated and arrested in house-to-house manhunts. This article provides information to the American public on the events taking place in Europe.,"Colton,

This is a great article! I added the direct link to the clipping, but otherwise, everything looked wonderful! Keep up the good work.

- Michelle",https://newspapers.ushmm.org/article/40934,https://www.newspapers.com/image/363604110/,,"[7,8,9]","[1,1]",41.6611277,-91.5301683,,1,1
40901,News Article,The Davenport Democrat and Leader/The Quad-City Times,Davenport,Iowa,25-Nov-42,4,Details of Plan to Exterminate All Jews In Nazi-Occupied Europe Told U.S. Group,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,colton kinnison,"The number of Jews killed in German occupied territory which was half a million and out of 500,000 Jews that resided in Warsaw only 100,000 were still alive.","Hi Colton, 

Thank you for submitting to History Unfolded. This article definitely fits into the event module. We actually have approved this article already. We would love to get new research. Please go to ""Menu"" and ""Explore User Research"" and search by newspaper name to see what we already have in the database before submitting in the future. The rest of your submission data looks great. We hope you'll submit again soon. ~Wendy",https://newspapers.ushmm.org/article/40901,,,"[7,8,9]","[1,1]",41.5236437,-90.5776367,,0,0
40475,News Article,Appleton Post-Crescent,Appleton,Wisconsin,25-Nov-42,1,Outlines Details of Alleged Plan To Exterminate Jews in Europe,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Ila Jones,The main form of killing hypothesized was injecting air bubbles into the veins by doctors not gassing.,"Hello Ila, thank you for your Appleton Post-Crescent submissions during the Sprint last week, they're all great new additions to the collection! I just edited your sub-headline fields: when there is more than one sub-headline, we usually only enter the first one in the designated field and the others in the User Comments field, so as not to crowd the sub-headline field (I edited your submissions accordingly). Thank you for your great work, we look forward to other finds from you! –Nadia",https://newspapers.ushmm.org/article/40475,,,"[8,9]","[1,1]",44.2619309,-88.4153847,,0,0
40440,News Article,Rock Island Argus,Rock+Island,Illinois,25-Nov-42,2,"SAYS 2,000,000 JEWS EXECUTED","Race Extinction in Europe Ordered by Hitler, Wise Charges",AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandy Kusselson,,,https://newspapers.ushmm.org/article/40440,,,"[6,7,8,9]","[1,1]",41.5094771,-90.5787476,,1,0
39997,News Article,The Austin Statesman/The Austin American-Statesman,Austin,Texas,25-Nov-42,11,Rabbi Charges Nazi MD's Following Hitler Command To Exterminate All Jews,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Mary Allred,,,https://newspapers.ushmm.org/article/39997,,,"[6,7,8,9]","[1,1]",30.267153,-97.7430608,,1,0
39811,News Article,The Huntsville Times,Huntsville,Alabama,25-Nov-42,1,Plan to Kill All Jews Is Revealed,Utter Extermination Before Close Of 1942 Said Hitler Purpose,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Josie Cotton,,,https://newspapers.ushmm.org/article/39811,,,"[7,8,9]","[1,0]",34.7303688,-86.5861037,,0,0
39759,News Article,The Santa Fe New Mexican,Santa+Fe,New+Mexico,25-Nov-42,8,Nazis Slaughtering Jews; Inject Air Bubbles in Veins,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Deborah Hirshfield,"It is striking how little is reported on this topic given the amount of sympathy and coverage was given to the attacks in 1938.  My observation is that the paper is focusing primarily on 2 news topics at this time.  

First - there is considerable coverage of the war itself.  There is a great deal of focus on specific attacks, battles etc.

Second - domestically - there is coverage of rationing and political infighting over government control of the economy

There remains the usual coverage of society events, sports etc.",,https://newspapers.ushmm.org/article/39759,,,"[6,7,8,9]","[1,1]",35.6869752,-105.937799,,0,0
39589,News Article,The State Journal/Lansing State Journal,Lansing,Michigan,25-Nov-42,1,New Nazi Purge Aimed At Jews,Hitler Orders All Members of Race in Europe to Be Killed This Year,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Margaret Lincoln,The article points to details of a campaign to exterminate all Jews in Nazi-occupied Europe by the end of the year and mentions that the story had reportedly been confirmed by the State Department and a personal representative of President Roosevelt.,,https://newspapers.ushmm.org/article/39589,,,"[7,8,9]","[0,0]",42.732535,-84.5555347,,0,0
