Id,Article Type,Newspaper,City,State,Publication Date,Page,Headline,Sub Headline,Byline,Event,Location of research,Status,Contributor,User Comments,CM Comments,Page URL,Download File,Unnamed: 18,Missing,Other,Latitude,Longitude,Wise,Soap_Corpse,Mention Perpatrator,"Scale, none, other",Passive vs Active,Missing
51029,News Article,The Sacramento Bee,Sacramento,California,25-Nov-42,17,Wise Says Nazis Are Using Dead Jews For Soap,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Randall Scott,,,https://newspapers.ushmm.org/article/51029,,,[24],1,38.5815719,-121.4943996,1,1,1,2,1,
50116,News Article,The Spartanburg Herald/The Sunday Herald-Journal,Spartanburg,South+Carolina,25-Nov-42,1,Dr. Wise Reports Half Of Jews In Europe Are Slain,,AP,Nazi Plan to Kill All Jews Confirmed,Google Newspaper Archive (https://news.google.com/newspapers),Published,Mary Allred,Link to article: https://news.google.com/newspapers?id=GvkeAAAAIBAJ&sjid=8soEAAAAIBAJ&hl=fr&pg=2178%2C2081460,,https://newspapers.ushmm.org/article/50116,,,[24],,34.9495672,-81.9320482,1,0,0,1,1,
49956,News Article,Gazette and Bulletin,Williamsport,Pennsylvania,25-Nov-42,1,"2,000,000 Jews Slain, Wise Hears","Death Of All Jews In Occupied Europe Ordered By Hitler, Leader Learns",AP,Nazi Plan to Kill All Jews Confirmed,Google Newspaper Archive (https://news.google.com/newspapers),Published,Mary Allred,Link to article: https://news.google.com/newspapers?id=cYQ6AAAAIBAJ&sjid=CyoMAAAAIBAJ&pg=5857%2C5862926,,https://newspapers.ushmm.org/article/49956,,,[24],,41.2411897,-77.0010786,1,0,0,0,0,
47012,News Article,The Kansas City Times,Kansas+City+,Missouri,25-Nov-42,2,Wiping Out Jews,Dr. Stephen Wise Says State Department Confirms Story of Massacre.,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sarah Biddick,"Additional sub-headlines:
At Least 2 Million Die
""Extermination Campaign"" Is In Full Swing in Nazi Europe.
Horrible Death Design
German Doctors Reportedly Inject Air Bubbles Into Veins of Victims",,https://newspapers.ushmm.org/article/47012,,,[24],,39.0997265,-94.5785667,1,0,0,2,0,
41794,News Article,The Owensboro Messenger-Inquirer/The Owensboro Messenger,Owensboro,Kentucky,25-Nov-42,3,Declares Hitler Exterminating Jews In Europe,Dr. Stephen Wise Says Half of 4 Million Population Slain.,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Patricia Pawelak-Kort,,,https://newspapers.ushmm.org/article/41794,,,[24],,37.7719074,-87.1111676,1,0,1,2,1,
40620,News Article,The Arizona Daily Star,Tucson,Arizona,25-Nov-42,2,German Death Plot Charged,Wise Says Extermination Of Jews Planned by Hitler,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Pamela Lightfoot,,,https://newspapers.ushmm.org/article/40620,,,[24],,32.2226066,-110.9747108,1,0,1,2,1,
39374,News Article,The Cedar Rapids Gazette,Cedar+Rapids,Iowa,25-Nov-42,1,Charges Drive to Exterminate Europe's Jews,,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,colton kinnison,It is informing people in America about what Hitler has done and is going to continue to do throughout the duration of the Holocaust and World War II.,"Hi Colton,

This is a great article! We actually already have this article in the database. We love to get new ones! 

See what we already have in the database by using this link: https://newspapers.ushmm.org/blog/2017/09/14/how-do-i-upload-articles-not-yet-in-the-database/

Keep up all the great work!

- Samantha",https://newspapers.ushmm.org/article/39374,,,[24],,41.9778795,-91.6656232,0,0,0,2,1,
34412,News Article,The Salt Lake Tribune,Salt+Lake+City,Utah,25-Nov-42,2,Nazis Execute Half of European Jews,Hebrew Congress Leader Says Two Million Die,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Elif Shannon-Chastain,,,https://newspapers.ushmm.org/article/34412,,,[24],,40.7607793,-111.8910474,1,0,1,1,1,
33902,News Article,The Miami Herald/The Herald,Miami,Florida,25-Nov-42,1,"2,000,000 Jews 'Exterminated' By Nazis, Dr. Wise Reports",Price Set On Corpses,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Sandra Auerbach,,,https://newspapers.ushmm.org/article/33902,,,[24],,25.7616798,-80.1917902,1,1,1,0,0,
32944,News Article,The Sioux City Journal,Sioux+City,Iowa,25-Nov-42,11,Hitler Murders 2 Million Jews,Dr. Stephen Wise Tells of Horrible Campaign of Extermination,AP,Nazi Plan to Kill All Jews Confirmed,Newspapers.com (https://www.newspapers.com),Published,Elizabeth Hedlund,,,https://newspapers.ushmm.org/article/32944,,,[24],,42.4963416,-96.4049408,1,0,1,0,1,
